pair,x,y,winner,best_learned,K_MB_global,K_best_learned,Delta_K_learned_vs_MB_global,Delta_I_AB,Delta_chi_BE,gain_source,MB_outage,learned_outage,Delta_outage,learned_K_p05,MB_K_p05,exploratory_ncut,repetitions
L_Cn2,20.0,1e-14,PS+GS,PS+GS,0.009110316120843077,0.010414371054324219,0.001304054933481142,0.0014055383406105237,3.120649009885623e-05,Mixed/none,0.125,0.08333333333333333,0.04166666666666667,1.979988743331755e-10,1.4488311809538837e-10,64,3
L_Cn2,40.0,1e-14,PS+GS,PS+GS,2.2405738303127307e-05,3.111821847709972e-05,8.712480173972416e-06,9.333382570623578e-06,1.5423326811998827e-07,Mixed/none,0.5416666666666666,0.4166666666666667,0.12499999999999994,-1.3085828716915179e-15,-6.532348217902495e-11,64,3
L_Cn2,60.0,1e-14,MB-global-opt,PS+GS,1.5003107508460007e-06,1.3362610926067237e-06,-1.6404965823927703e-07,-1.6527166502022794e-07,7.041576470060658e-09,No positive gain,0.7083333333333334,0.5416666666666666,0.16666666666666674,0.0,-6.532172358575393e-11,64,3
L_Cn2,80.0,1e-14,MB-global-opt,PS+GS,6.768241434973451e-07,4.878085701339371e-07,-1.8901557336340801e-07,-1.9634492080348553e-07,2.4878986000971305e-09,No positive gain,0.75,0.6666666666666666,0.08333333333333337,0.0,-6.532162514597908e-11,64,3
L_Cn2,100.0,1e-14,PS+GS,PS+GS,1.2523097470129585e-08,1.620511033880352e-08,3.682012868673936e-09,4.01391830884279e-09,1.3120952472670682e-10,No positive gain,0.875,0.8333333333333334,0.04166666666666663,0.0,-6.532210328202836e-11,64,3
V_a,5.0,0.1,MB-global-opt,PS+GS,0.00018427763692803372,0.00018221162192621674,-2.066015001816985e-06,-1.3252581538095729e-06,8.070197556979668e-07,No positive gain,0.0,0.0,0.0,6.375508751092309e-06,6.12680302524223e-06,64,3
V_a,13.75,0.1,MB-global-opt,PS+GS,0.012238448992684095,0.012188356086073012,-5.009290661108293e-05,-1.2175163808428313e-05,3.852650099307048e-05,No positive gain,0.0,0.0,0.0,0.0004759179183990077,0.0005047909296788435,64,3
V_a,22.5,0.1,MB-global-opt,PS+GS,0.02908628439859658,0.027577244917170913,-0.001509039481425667,-0.0015088014306368358,7.567812232066318e-05,No positive gain,0.0,0.0,0.0,0.0023533397358204648,0.002112138897801974,64,3
V_a,31.25,0.1,MB-global-opt,PS+GS,0.034333857415571455,0.03381534258149218,-0.0005185148340792756,-0.0004481202799559575,9.28005681211097e-05,No positive gain,0.0,0.0,0.0,0.00421129059505253,0.004696960552376996,64,3
V_a,40.0,0.1,PS+GS,PS+GS,0.042046982121798165,0.04359825208996782,0.0015512699681696565,0.0017596300114287033,0.00012037854268759363,Mixed/none,0.0,0.0,0.0,0.006068694943039525,0.005579708225288145,64,3
V_a,5.0,0.15,PS+GS,PS+GS,0.00038414526950562573,0.0003939245245247579,9.779255019132184e-06,1.201135760779226e-05,1.6315347082702675e-06,Mixed/none,0.0,0.0,0.0,7.337217447473731e-05,6.573819668048411e-05,64,3
V_a,13.75,0.15,PS+GS,PS+GS,0.02926671725061028,0.029380756588387864,0.00011403933777758349,0.000211075408671893,8.64823004607107e-05,Mixed/none,0.0,0.0,0.0,0.004622171358944004,0.005244216206359407,64,3
V_a,22.5,0.15,PS+GS,PS+GS,0.05111957386071483,0.05139834857894764,0.00027877471823281597,0.0004387481037506913,0.00013803598033033937,Mixed/none,0.0,0.0,0.0,0.00637309273305707,0.0060620228618898315,64,3
V_a,31.25,0.15,PS+GS,PS+GS,0.054706937663519584,0.05602793975517795,0.0013210020916583631,0.0015431371876794553,0.00014497823663711662,Mixed/none,0.0,0.0,0.0,0.005736484203814635,0.005259406607124424,64,3
V_a,40.0,0.15,MB-global-opt,PS+GS,0.09238650807240945,0.08813689428801606,-0.004249613784393383,-0.0042369932938219335,0.00022447015526258496,No positive gain,0.0,0.0,0.0,0.005296562608312075,0.0038722734381958037,64,3
