SNR_band,SNR_dB,T,epsilon,delta_K,K_MB,K_joint
very low,-46.98970058622826,1e-05,0.025,-3.139294746971428e-07,1.0527702715664344e-06,7.388407968692916e-07
very low,-45.32303417351485,1.4677992676220705e-05,0.025,6.623889166057563e-08,6.126061261972153e-07,6.788450178577909e-07
very low,-43.65636787960057,2.1544346900318823e-05,0.025,-8.380834125502437e-07,2.9907295474658937e-06,2.15264613491565e-06
very low,-41.98970176005952,3.1622776601683795e-05,0.025,-1.7861126333506904e-07,2.037027320600513e-06,1.858416057265444e-06
very low,-40.32303589646331,4.641588833612782e-05,0.025,6.934262805883673e-07,3.013062142453999e-06,3.7064884230423665e-06
very low,-38.65637040854261,6.812920690579608e-05,0.025,-4.700746548902398e-07,5.350013892406001e-06,4.879939237515761e-06
very low,-36.98970547203782,0.0001,0.025,-1.2226173702630351e-06,1.1848414175400865e-05,1.062579680513783e-05
very low,-35.32304134490025,0.0001467799267622069,0.025,-8.69797308098442e-06,3.1279820442028e-05,2.258184736104358e-05
low,-33.65637840574983,0.00021544346900318823,0.025,6.386271155249068e-06,1.5349592435986975e-05,2.1735863591236043e-05
low,-31.989717210322986,0.00031622776601683794,0.025,5.970944761927523e-06,2.5194484179236177e-05,3.11654289411637e-05
