run_id,timestamp,distance_km,V_A,beta,I_AB,chi_BE,Delta,epsilon_total,n_block,N_block,SKR,SKR_clipped
20260501_224545,2026-05-01 22:45:45,19.0000000000,2.6000000000,0.9500000000,0.0117904311,0.0170426851,0.0181933236,0.0000000300,100000000,100000000,-0.0058417755,0.0000000000
20260501_224546,2026-05-01 22:45:46,19.0000000000,2.6000000000,0.9500000000,0.0117845543,0.0170344011,0.0181933236,0.0000000300,100000000,100000000,-0.0058390745,0.0000000000
20260501_224546,2026-05-01 22:45:46,19.0000000000,2.6000000000,0.9500000000,0.0117775787,0.0170245678,0.0181933236,0.0000000300,100000000,100000000,-0.0058358681,0.0000000000
20260501_224546,2026-05-01 22:45:46,19.0000000000,2.6000000000,0.9500000000,0.0117711608,0.0170155205,0.0181933236,0.0000000300,100000000,100000000,-0.0058329178,0.0000000000
20260501_224546,2026-05-01 22:45:46,19.0000000000,2.6000000000,0.9500000000,0.0117636515,0.0170049344,0.0181933236,0.0000000300,100000000,100000000,-0.0058294655,0.0000000000
20260501_224546,2026-05-01 22:45:46,19.0000000000,2.6000000000,0.9500000000,0.0117554021,0.0169933045,0.0181933236,0.0000000300,100000000,100000000,-0.0058256725,0.0000000000
20260501_224546,2026-05-01 22:45:46,19.0000000000,2.6000000000,0.9500000000,0.0117475414,0.0169822222,0.0181933236,0.0000000300,100000000,100000000,-0.0058220579,0.0000000000
20260501_224546,2026-05-01 22:45:46,19.0000000000,2.6000000000,0.9500000000,0.0000005894,0.0000008765,0.0181933236,0.0000000300,100000000,100000000,-0.0000003166,0.0000000000
20260501_224546,2026-05-01 22:45:46,19.0000000000,2.6000000000,0.9500000000,0.0000007057,0.0000010495,0.0181933236,0.0000000300,100000000,100000000,-0.0000003790,0.0000000000
20260501_224546,2026-05-01 22:45:46,19.0000000000,2.6000000000,0.9500000000,0.0000009066,0.0000013480,0.0181933236,0.0000000300,100000000,100000000,-0.0000004867,0.0000000000
20260501_224547,2026-05-01 22:45:47,19.0000000000,2.6000000000,0.9500000000,0.0000007704,0.0000011456,0.0181933236,0.0000000300,100000000,100000000,-0.0000004137,0.0000000000
20260501_224547,2026-05-01 22:45:47,19.0000000000,2.6000000000,0.9500000000,0.0000006441,0.0000009578,0.0181933236,0.0000000300,100000000,100000000,-0.0000003459,0.0000000000
20260501_224547,2026-05-01 22:45:47,19.0000000000,2.6000000000,0.9500000000,0.0000003585,0.0000005333,0.0181933236,0.0000000300,100000000,100000000,-0.0000001927,0.0000000000
20260501_224547,2026-05-01 22:45:47,19.0000000000,2.6000000000,0.9500000000,0.0000001418,0.0000002110,0.0181933236,0.0000000300,100000000,100000000,-0.0000000763,0.0000000000
20260501_224547,2026-05-01 22:45:47,19.0000000000,2.6000000000,0.9500000000,0.0000004099,0.0000006096,0.0181933236,0.0000000300,100000000,100000000,-0.0000002203,0.0000000000
20260501_224547,2026-05-01 22:45:47,19.0000000000,2.6000000000,0.9500000000,0.0000003054,0.0000004543,0.0181933236,0.0000000300,100000000,100000000,-0.0000001642,0.0000000000
20260501_224547,2026-05-01 22:45:47,19.0000000000,2.6000000000,0.9500000000,0.0000006303,0.0000009373,0.0181933236,0.0000000300,100000000,100000000,-0.0000003385,0.0000000000
20260501_224547,2026-05-01 22:45:47,19.0000000000,2.6000000000,0.9500000000,0.0000005052,0.0000007514,0.0181933236,0.0000000300,100000000,100000000,-0.0000002714,0.0000000000
20260501_224547,2026-05-01 22:45:47,19.0000000000,2.6000000000,0.9500000000,0.0000004973,0.0000007396,0.0181933236,0.0000000300,100000000,100000000,-0.0000002672,0.0000000000
